id,na_article_url,na_image_url,na_publication,na_title,na_publish_date,na_author,na_blurb,na_feature,na_order
,,,Simply KC Magazine,There's an App for That Too,2014-06-01,Bridget Mason Hess,,0,
,http://www.401khelpcenter.com/press_2014/pr_blooom_092314.html#.VXbjFM9VhBc,,401khelpcenter.com,Firm to Launch Online 401k Management Tool,2014-09-23,,,0,
,http://www.bizjournals.com/kansascity/blog/bizventures-kc/2014/09/blooom-401k-management-tool.html,,Kansas City Business Journal,OP Startup blooom Pitches Green Thumb for 401(k) Management,2014-09-23,Bobby Burch,,0,
,http://time.com/money/3476265/401k-5-ways-get-help/,,Money,5 Ways to Get Help With Your 401(k),2014-10-06,Beth Pinsker,,0,
,http://www.businessinsider.com/blooom-401k-management-2014-10,,Business Insider,This Startup Aims to Solve a Financial Problem Most People Don't Even Realize They Have,2014-10-22,Libby Kane,,1,
,http://www.aitegroup.com/blogs/sophie-louvel-schmitt/finovatefall-recap-new-digital-advisors-make-their-debut,,Aite Group,FinovateFall Recap: New Digital Advisors Make Their Debut,2014-09-29,Sophie Louvel Schmitt,,0,
,http://www.kansascity.com/news/business/technology/article2242105.html,,The Kansas City Star,Overland Park financial tech firm blooom wins big in New York ,2014-09-25,Steve Rosen,,0,
,http://www.forbes.com/sites/nextavenue/2014/09/25/6-new-apps-and-sites-to-manage-your-money-2/,,Forbes,6 New Apps and Sites to Manage Your Money,2014-09-25,Richard Eisenberg,,0,
,http://www.forbes.com/sites/dansimon/2014/09/26/too-nice-to-fail-can-moral-finance-save-your-bank/,,Forbes,Too Nice to Fail: Can Moral Finance Save Your Bank,2014-09-25,Dan Simon,,0,
,http://online.barrons.com/articles/SB52784017629588234037504580170143216126432,,Barrons,Robo Advisors Multiply,2014-09-25,Mike Hogan,,0,
,http://www.reuters.com/article/2014/10/07/us-retirement-advice-idUSKCN0HV1TS20141007,,Reuters,5 Ways to Get Help with your 401(k),,Beth Pinsker,,1,
,http://www.listenmoneymatters.com/401k-deep-dive-chris-costello-blooom/,,Listen Money Matters,401k Deep Dive with Chris Costello from blooom,,Candice Elliott,,0,
,http://www.doughroller.net/retirement-planning/automate-401k-interview-blooom-founder-chris-costello/,,DoughRoller,How to Automate your 401k--An Interview with blooom Founder Chris Costello,2015-01-12,Rob Berger,,0,
,http://www.moneymarketing.co.uk/ian-mckenna-us-advice-firm-helps-investments-blooom/,,Money Marketing,Ian McKenna: US Advice Firm Helps Investments Blooom,2014-10-25,Ian McKenna,,0,
,https://www.mainstreet.com/article/why-both-gen-x-and-y-can-skip-using-financial-advisors-until-they-are-55,,Main St.,Why Both Gen X and Y Can Skip Using Financial Advisors Until They are 55,2014-11-06,Ellen Chang,,0,
,http://commoncoremoney.blogspot.com/2014/12/bloooms-niche-in-401k-world.html,,Common Core Money,Blooom's Niche in the 401(k) World,2014-12-12,"Carlos O. Gomez, Jr.",,0,
,http://www.wsj.com/articles/the-best-online-tools-for-retirement-planning-and-living-1421726470,,The Wall Street Journal,The Best Online Tools for Retirement Planning and Living,2015-01-19,Anne Tergesen,,1,
,http://www.redbookmag.com/life/money-career/a19771/your-month-to-month-guide-to-extreme-money-confidence/,,redbook,Your Month-to-Month Guide to Extreme Money Confidence,2015-01-21,Sandy Fernandez,,0,
,http://www.forbes.com/sites/robertberger/2015/02/05/7-robo-advisors-that-make-investing-effortless/,,Forbes,7 Robo Advisors That Make Investing Effortless,2015-02-05,Rod Berger,,0,
,https://www.ithinkbigger.com/blooom-cultivates-new-approach-401ks/,,"Thinking Bigger, Business Media Inc.",Blooom cultivates a new approach to 401(k)s,2015-02-01,Brian McTavish,,0,
,http://www.purewow.com/money/Retirement-Party,,PureWow Money,Retirement Party: A Whole New Way to 401(k),2015-02-24,,,1,
,http://www.fastcompany.com/3041660/most-innovative-companies-2015/the-worlds-top-10-most-innovative-companies-of-2015-in-person,,Fast Company,The World's 50 Most Innovative Companies,2015-03-01,Fast Company Staff,,1,
,http://meers.com/robo-advisors-disruptors-financial-advice-industry/,,Meers.com,Robo Advisors: Disruptors in the Financial Advice Industry,2015-03-18,Abbey Tingle,,0,
,https://www.ithinkbigger.com/blooom-wins-kc-version-innovateher-pitch-contest/,,"Thinking Bigger, Business Media Inc.",Blooom Wins KC Version of InnovateHER Pitch Contest,2015-03-30,James Hart,,0,
,http://www.kansascity.com/news/local/community/joco-913/olathe-southwest-joco/article17536790.html,,The Kansas City Star,Twenty-Two Are Companies to be Honored for Innovation,2015-04-06,Steve Rosen,,0,
,,,Johnson County Lifestyle Magazine,Blooom: A Permanent Fix for your 401k,2015-04-01,Jenny Wolf,,0,
,http://investorjunkie.com/42071/blooom-review/,,Investor Junkie,Blooom Review: Better Management of your 401k,2015-05-28,Kevin Mercadante,,1,
,http://time.com/3903608/retirement-risk/,,Time.com,The Retirement Risk We All Share,2015-06-01,Greg Smith,,1,
,http://www.money-rates.com/personal-finance/7-small-money-moves-that-could-change-your-life.html,,Money Rates,7 Small Money Moves That Could Change Your Life,2015-06-09,Maryalene LaPonsie,,0,
,http://www.forbes.com/sites/samanthasharf/2015/06/11/whats-a-robo-advisor-really/,,Forbes,Robots Are Taking Over Investment Advice: How to Tell Them Apart,2015-06-11,Samantha Sharft,,1,
